z_tone,z_gold,z_mat,z_hard,z_force,z_vol,vol_ratio,log_vol,slope21_tone,events_week,пара,день_X,метка,название,файл,дней
-2.0723788635947065,-1.2778890482485714,-2.811381856237747,-1.469369397114194,-2.0115333426961195,1.143263347575716,1.174571140262361,4.420560298676125,-0.07004451886282075,582.0,AFG-PAK,2025-02-21,0,контроль к «Афгано-пакистанская война» (−1 г.),AFG-PAK_2025-02-21_control.csv,60
1.3387218529367229,5.420681568838432,6.501168931657621,2.547063094617706,3.9766855295277574,0.320880447943222,1.0640937284631289,4.0099272204095175,0.06501067253631987,386.0,AFG-PAK,2026-02-21,1,Афгано-пакистанская война,AFG-PAK_2026-02-21.csv,60
0.8412842729064993,0.5464518702916334,0.34841584583070795,0.8624340191958516,0.2555644979266161,-0.14010845178347534,0.9525909592061741,4.122515439188797,0.07505208286891824,432.0,ARM-AZE,2015-04-02,0,контроль к «Четырёхдневная война» (−1 г.),ARM-AZE_2015-04-02_control.csv,60
-0.565942567138341,0.7406381801721149,0.8355993543128108,0.7617270770540354,1.3053891751104174,1.0513771194283164,1.2871870397643594,4.1340230460402765,-0.055858395166303317,437.0,ARM-AZE,2016-04-01,1,Четырёхдневная война,ARM-AZE_2016-04-01.csv,60
1.1618118753771804,1.7413013375483846,0.7140367675466635,0.8144527402207697,-0.6355056337738596,-0.1435328688386369,0.9405940594059405,3.3011139231051727,-0.044855473678661016,190.0,ARM-AZE,2019-07-13,0,контроль к «Бои в Товузском районе» (−1 г.),ARM-AZE_2019-07-13_control.csv,60
1.1275408703807208,0.2855266556614494,1.0462230253663585,1.695209254950229,3.621409133881854,6.571373962186906,2.121212121212121,3.8066624897703196,0.028472178744089065,315.0,ARM-AZE,2019-09-28,0,контроль к «Вторая карабахская война» (−1 г.),ARM-AZE_2019-09-28_control.csv,60
-2.35748989192298,-0.9616580126818276,-0.6866373708961808,-0.7321945605471278,-0.2890899385159155,0.42719605036385866,1.1155378486055778,2.995732273553991,-0.001468349828920437,140.0,ARM-AZE,2020-05-12,0,контроль к «Приграничный кризис 2021» (−1 г.),ARM-AZE_2020-05-12_control.csv,60
0.7117247367767644,-1.197213779691918,-2.4222618036927432,-1.69931980658654,-0.3918075885914066,1.0147589586394026,1.1970074812967582,2.841581593726733,0.018989774690491595,120.0,ARM-AZE,2020-07-12,1,Бои в Товузском районе,ARM-AZE_2020-07-12.csv,60
1.2152597736648907,-1.5207140828368113,-1.9959060903111243,-1.2258021805546175,-1.9774425278640517,1.8749798908742226,1.9031993437243644,4.4171179544851515,0.05256700186586773,580.0,ARM-AZE,2020-09-27,1,Вторая карабахская война,ARM-AZE_2020-09-27.csv,60
0.602555345314304,-0.33492584506894296,-0.7045977739771222,-0.45236593079937676,-0.9588698966093951,-1.3574598855068198,0.7664041994750657,3.7308436532129683,-0.03374314474414587,292.0,ARM-AZE,2021-05-12,1,Приграничный кризис 2021,ARM-AZE_2021-05-12.csv,60
-3.101368282721996,-2.9183202989005506,-2.736442753554856,-3.5047008975331986,-3.3325356635696934,-0.7518138303035936,0.8544973544973545,3.8317421741673434,-0.022534887018604906,323.0,ARM-AZE,2021-09-12,0,контроль к «Столкновения сентября 2022» (−1 г.),ARM-AZE_2021-09-12_control.csv,60
1.4857796551433466,1.3912903355238007,1.7550707067410356,1.4793719135704044,1.5141132995727575,0.8366982016750852,1.3628088426527958,4.3155815352657285,0.07468685434223259,524.0,ARM-AZE,2022-09-12,1,Столкновения сентября 2022,ARM-AZE_2022-09-12.csv,60
-1.3759019031901378,1.3016657371885314,-0.5,0.0,0.0,-0.6320673844678713,0.6808510638297872,0.13353139262452257,-0.13367216168183882,8.0,BTN-CHN,2017-06-16,1,Доклам,BTN-CHN_2017-06-16.csv,57
0.7883119415074615,0.7359695304685192,0.7068211429832693,-0.7503163207506678,1.0000000000000002,1.5838567974530435,1.6296296296296295,3.2245738459828384,0.026340691382995288,176.0,CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),CHN-IND_2013-09-16_control.csv,60
-0.9275992686713616,-1.0987128657816354,-1.041966680923842,-1.5427118876312111,-1.5306448964225623,3.7177685369607,4.775716694772344,4.616533944638406,-0.008570302031769454,708.0,CHN-IND,2014-09-16,1,Чумар,CHN-IND_2014-09-16.csv,60
1.2364384904751435,3.2755094327102725,1.1600596924970346,1.5656923153672087,-1.3496128946103547,-1.0715949469322075,0.609202851587816,3.5136753650888455,0.07610932655509636,235.0,CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),CHN-IND_2016-06-16_control.csv,60
0.0564598931091068,0.24666953947031373,1.0003434417060246,0.10343221854417246,-0.3836078029777084,-0.9558023939508115,0.7879799666110184,3.5179216559702966,0.02683641435077062,236.0,CHN-IND,2017-06-16,1,Доклам,CHN-IND_2017-06-16.csv,60
0.5769857317849464,1.0526652072708857,-0.1286500419770791,3.04033770003626,3.192572221787529,2.224839069427276,1.7374517374517375,3.470190253149107,0.06082604648959944,225.0,CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),CHN-IND_2019-06-16_control.csv,60
-0.15258745473875324,-0.9780281153373934,-1.7245573252301358,-1.3731074097497178,-1.2977923960050672,-0.44912686319837614,0.8438709677419356,3.84405002184194,-0.031155583559048135,327.0,CHN-IND,2020-06-15,1,Долина Галван,CHN-IND_2020-06-15.csv,60
-2.3864212026510745,-1.6129739973520132,-0.4206096222426596,-0.2438195106316885,-0.30878849220022125,-0.5751775743285137,0.7906976744186045,2.2735975561207935,-0.032145153885188266,68.0,CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),CHN-IND_2021-12-09_control.csv,60
0.15973794231846183,-1.0258331881231575,-2.027363684388965,-0.8084670668592882,-0.5502279318612692,3.1336091450787267,1.8924731182795698,2.531426665422893,0.11967452209828795,88.0,CHN-IND,2022-12-09,1,Янцзы (Таванг),CHN-IND_2022-12-09.csv,58
-1.59542230751273,1.1836760742120453,-0.02897410468545079,-0.6883744187435636,-0.6571318233941849,-0.3435390173332739,0.8870748299319727,3.147840051751449,-0.03080723400771759,163.0,CHN-VNM,2014-05-01,1,Платформа HYSY-981,CHN-VNM_2014-05-01.csv,60
-0.7630897560941273,1.121588628508785,1.4200269226616578,1.457963817504914,1.2305253200380464,1.1261867919946713,2.225563909774436,2.3581549441488563,-0.4090734746564427,74.0,COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),COD-RWA_2024-01-24_control.csv,60
