пара,день_X,метка,название,признак,порог,лид_тайм_дней,цензурировано,потолок_дней
ARM-AZE,2021-09-12,0,контроль к «Столкновения сентября 2022» (−1 г.),z_vol,1.0,11.0,False,26
ARM-AZE,2021-09-12,0,контроль к «Столкновения сентября 2022» (−1 г.),z_vol,2.0,10.0,False,26
ARM-AZE,2021-09-12,0,контроль к «Столкновения сентября 2022» (−1 г.),vol_ratio,1.5,10.0,False,26
ARM-AZE,2021-09-12,0,контроль к «Столкновения сентября 2022» (−1 г.),vol_ratio,2.5,,False,26
ARM-AZE,2022-09-12,1,Столкновения сентября 2022,z_tone,1.0,1.0,False,26
ARM-AZE,2022-09-12,1,Столкновения сентября 2022,z_tone,2.0,,False,26
ARM-AZE,2022-09-12,1,Столкновения сентября 2022,z_vol,1.0,4.0,False,26
ARM-AZE,2022-09-12,1,Столкновения сентября 2022,z_vol,2.0,,False,26
ARM-AZE,2022-09-12,1,Столкновения сентября 2022,vol_ratio,1.5,4.0,False,26
ARM-AZE,2022-09-12,1,Столкновения сентября 2022,vol_ratio,2.5,,False,26
BTN-CHN,2017-06-16,1,Доклам,z_tone,1.0,23.0,True,23
BTN-CHN,2017-06-16,1,Доклам,z_tone,2.0,16.0,False,23
BTN-CHN,2017-06-16,1,Доклам,z_vol,1.0,16.0,False,23
BTN-CHN,2017-06-16,1,Доклам,z_vol,2.0,14.0,False,23
BTN-CHN,2017-06-16,1,Доклам,vol_ratio,1.5,16.0,False,23
BTN-CHN,2017-06-16,1,Доклам,vol_ratio,2.5,16.0,False,23
CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),z_tone,1.0,23.0,False,26
CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),z_tone,2.0,23.0,False,26
CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),z_vol,1.0,25.0,False,26
CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),z_vol,2.0,21.0,False,26
CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),vol_ratio,1.5,25.0,False,26
CHN-IND,2013-09-16,0,контроль к «Чумар» (−1 г.),vol_ratio,2.5,,False,26
CHN-IND,2014-09-16,1,Чумар,z_tone,1.0,26.0,True,26
CHN-IND,2014-09-16,1,Чумар,z_tone,2.0,22.0,False,26
CHN-IND,2014-09-16,1,Чумар,z_vol,1.0,22.0,False,26
CHN-IND,2014-09-16,1,Чумар,z_vol,2.0,15.0,False,26
CHN-IND,2014-09-16,1,Чумар,vol_ratio,1.5,16.0,False,26
CHN-IND,2014-09-16,1,Чумар,vol_ratio,2.5,12.0,False,26
CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),z_tone,1.0,2.0,False,26
CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),z_tone,2.0,,False,26
CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),z_vol,1.0,24.0,False,26
CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),z_vol,2.0,23.0,False,26
CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),vol_ratio,1.5,24.0,False,26
CHN-IND,2016-06-16,0,контроль к «Доклам» (−1 г.),vol_ratio,2.5,,False,26
CHN-IND,2017-06-16,1,Доклам,z_tone,1.0,22.0,False,26
CHN-IND,2017-06-16,1,Доклам,z_tone,2.0,21.0,False,26
CHN-IND,2017-06-16,1,Доклам,z_vol,1.0,8.0,False,26
CHN-IND,2017-06-16,1,Доклам,z_vol,2.0,7.0,False,26
CHN-IND,2017-06-16,1,Доклам,vol_ratio,1.5,7.0,False,26
CHN-IND,2017-06-16,1,Доклам,vol_ratio,2.5,,False,26
CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),z_tone,1.0,,False,26
CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),z_tone,2.0,,False,26
CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),z_vol,1.0,13.0,False,26
CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),z_vol,2.0,3.0,False,26
CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),vol_ratio,1.5,3.0,False,26
CHN-IND,2019-06-16,0,контроль к «Долина Галван» (−1 г.),vol_ratio,2.5,,False,26
CHN-IND,2020-06-15,1,Долина Галван,z_tone,1.0,,False,26
CHN-IND,2020-06-15,1,Долина Галван,z_tone,2.0,,False,26
CHN-IND,2020-06-15,1,Долина Галван,z_vol,1.0,22.0,False,26
CHN-IND,2020-06-15,1,Долина Галван,z_vol,2.0,22.0,False,26
CHN-IND,2020-06-15,1,Долина Галван,vol_ratio,1.5,24.0,False,26
CHN-IND,2020-06-15,1,Долина Галван,vol_ratio,2.5,,False,26
CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),z_tone,1.0,20.0,False,26
CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),z_tone,2.0,19.0,False,26
CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),z_vol,1.0,,False,26
CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),z_vol,2.0,,False,26
CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),vol_ratio,1.5,,False,26
CHN-IND,2021-12-09,0,контроль к «Янцзы (Таванг)» (−1 г.),vol_ratio,2.5,,False,26
